"","old","new"
"1","",""
"2","  who access case management and multi-sectoral services","  who access case management and multi-sectoral services"
"3","  who accessed services through specialized assistance and follow-up (i.e. via referrals)","  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"4"," access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"," access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"
"5"," and members of community /refugee/CP committees trained on child protection issues"," and members of community /refugee/CP committees trained on child protection issues"
"6"," arrival kits"," arrival kits"
"7"," assistive tools or devices"," assistive tools or devices"
"8"," awareness sessions on civil status documentation"," awareness sessions on civil status documentation"
"9"," benefiting from livelihood projects"," benefiting from livelihood projects"
"10"," cash-for-work"," cash-for-work"
"11"," CSPs"," CSPs"
"12"," food assistance"," food assistance"
"13"," food consumption"," food consumption"
"14"," from CSPs"," from CSPs"
"15"," from livelihood projects"," from livelihood projects"
"16"," hygiene"," hygiene"
"17"," hygiene sessions"," hygiene sessions"
"18"," improved conditions"," improved conditions"
"19"," information, counselling and/or representation"," information, counselling and/or representation"
"20"," issues, services available and referral pathway (including inter-agency information campaigns)"," issues, services available and referral pathway (including inter-agency information campaigns)"
"21"," legal awareness sessions on civil status documentation"," legal awareness sessions on civil status documentation"
"22"," legal information, counselling and/or representation"," legal information, counselling and/or representation"
"23"," livelihood projects"," livelihood projects"
"24"," of SGBV  who access case management and multi-sectoral services"," of SGBV  who access case management and multi-sectoral services"
"25"," on CP issues, services available and referral pathway (including inter-agency information campaigns)"," on CP issues, services available and referral pathway (including inter-agency information campaigns)"
"26"," on SGBV core principles and referral pathways"," on SGBV core principles and referral pathways"
"27"," pre-primary education services"," pre-primary education services"
"28"," rehabilitation sessions"," rehabilitation sessions"
"29"," snacks"," snacks"
"30"," with IRIS scan"," with IRIS scan"
"31","(into formal education)","(into formal education)"
"32","acceptable food consumption","acceptable food consumption"
"33","access to safe wastewater management","access to safe wastewater management"
"34","access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)","access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"
"35","accessed services through specialized assistance and follow-up (i.e. via referrals)","accessed services through specialized assistance and follow-up (i.e. via referrals)"
"36","afe access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)","afe access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"
"37","alid UNHCR registration","alid UNHCR registration"
"38","assistance","assistance"
"39","assistive tools or devices","assistive tools or devices"
"40","ater based on minimum standards","ater based on minimum standards"
"41","awareness sessions or receiving information about services","awareness sessions or receiving information about services"
"42","BILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)","BILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"43","BILITIES benefiting from livelihood projects","BILITIES benefiting from livelihood projects"
"44","BV  who access case management and multi-sectoral services","BV  who access case management and multi-sectoral services"
"45","cceptable food consumption","cceptable food consumption"
"46","ccess to water based on minimum standards","ccess to water based on minimum standards"
"47","ccessed services through specialized assistance and follow-up (i.e. via referrals)","ccessed services through specialized assistance and follow-up (i.e. via referrals)"
"48","cipated in the sessions","cipated in the sessions"
"49","cipating in awareness sessions or receiving information about services","cipating in awareness sessions or receiving information about services"
"50","cipating in the awareness sessions","cipating in the awareness sessions"
"51","d as refugee volunteers","d as refugee volunteers"
"52","d on CP issues, services available and referral pathway (including inter-agency information campaigns)","d on CP issues, services available and referral pathway (including inter-agency information campaigns)"
"53","d on SGBV core principles and referral pathways","d on SGBV core principles and referral pathways"
"54","d UNHCR registration","d UNHCR registration"
"55","danian public schools (primary and secondary)","danian public schools (primary and secondary)"
"56","ded with lifesaving, secondary and tertiary care","ded with lifesaving, secondary and tertiary care"
"57","ded with new arrival kits","ded with new arrival kits"
"58","ded with replenishment/replacement kits","ded with replenishment/replacement kits"
"59","ded with winterization packages","ded with winterization packages"
"60","ding legal awareness sessions on civil status documentation","ding legal awareness sessions on civil status documentation"
"61","DISABILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)","DISABILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"62","DISABILITIES benefiting from livelihood projects","DISABILITIES benefiting from livelihood projects"
"63","e supplies","e supplies"
"64","e volunteers","e volunteers"
"65","ed as refugee volunteers","ed as refugee volunteers"
"66","ed conditional cash for rent assistance","ed conditional cash for rent assistance"
"67","ed hygiene supplies","ed hygiene supplies"
"68","ed in psychosocial first aid (PFA)","ed in psychosocial first aid (PFA)"
"69","ed on CP issues, services available and referral pathway (including inter-agency information campaigns)","ed on CP issues, services available and referral pathway (including inter-agency information campaigns)"
"70","ed on good nutritional practices","ed on good nutritional practices"
"71","ed services through specialized assistance and follow-up (i.e. via referrals)","ed services through specialized assistance and follow-up (i.e. via referrals)"
"72","ed with IRIS scan","ed with IRIS scan"
"73","ed with lifesaving, secondary and tertiary care","ed with lifesaving, secondary and tertiary care"
"74","ed with support towards basic needs","ed with support towards basic needs"
"75","ed with winterization packages","ed with winterization packages"
"76","eers and members of community /refugee/CP committees trained on child protection issues","eers and members of community /refugee/CP committees trained on child protection issues"
"77","ertificates","ertificates"
"78","ervices through specialized assistance and follow-up (i.e. via referrals)","ervices through specialized assistance and follow-up (i.e. via referrals)"
"79","ES  who accessed services through specialized assistance and follow-up (i.e. via referrals)","ES  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"80","ES benefiting from livelihood projects","ES benefiting from livelihood projects"
"81","es enrolled with IRIS scan","es enrolled with IRIS scan"
"82","es with valid UNHCR registration","es with valid UNHCR registration"
"83","esaving, secondary and tertiary care","esaving, secondary and tertiary care"
"84","fe drinking water based on minimum standards","fe drinking water based on minimum standards"
"85","fe wastewater management","fe wastewater management"
"86","food assistance","food assistance"
"87","formal education)","formal education)"
"88","g better hygiene","g better hygiene"
"89","g birth certificates","g birth certificates"
"90","g food assistance","g food assistance"
"91","g from CSPs","g from CSPs"
"92","g from livelihood projects","g from livelihood projects"
"93","g from schools which promote social cohesion","g from schools which promote social cohesion"
"94","g school snacks","g school snacks"
"95","GBV core principles and referral pathways","GBV core principles and referral pathways"
"96","gee volunteers","gee volunteers"
"97","hygiene materials","hygiene materials"
"98","icing better hygiene","icing better hygiene"
"99","id UNHCR registration","id UNHCR registration"
"100","ifesaving, secondary and tertiary care","ifesaving, secondary and tertiary care"
"101","ilitation sessions","ilitation sessions"
"102","ILITIES  benefiting from livelihood projects","ILITIES  benefiting from livelihood projects"
"103","ILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)","ILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"104","ILITIES benefiting from livelihood projects","ILITIES benefiting from livelihood projects"
"105","ILITIES who accessed services through specialized assistance and follow-up (i.e. via referrals)","ILITIES who accessed services through specialized assistance and follow-up (i.e. via referrals)"
